name,ctype,csubtype,contract,address,all_categories
Morenad,Consumer,Betting,AutomationManager,0xa1714ec3a5c5fc8f2797c5f32d13c52e15d0bf86,Consumer::Betting;Gaming::Games;DeFi::Staking
Morenad,Consumer,Betting,MiningGame,0x3a0544d3fb61b44ec44fab1be1aafe5afa54fd41,Consumer::Betting;Gaming::Games;DeFi::Staking
Morenad,Consumer,Betting,MiningGameVault,0x75168b1311570201dca1f0c62d3dbb64e72197f6,Consumer::Betting;Gaming::Games;DeFi::Staking
Morenad,Consumer,Betting,MoreToken,0x35f3bd2a352c6ef34de17cb618ac871acabc7abd,Consumer::Betting;Gaming::Games;DeFi::Staking
Morenad,Consumer,Betting,TreasuryStaking,0x4bb4eb9d0aaa49399417899c3aa2f1ade92cbbc3,Consumer::Betting;Gaming::Games;DeFi::Staking
Morenad,Consumer,Betting,TreasuryVault,0xc04fe474cfd3a96e07afaa269d42554f867ce7fe,Consumer::Betting;Gaming::Games;DeFi::Staking
Garden,DeFi,Cross Chain,cbbtc_htlc,0x5c9f75f5bbefb2734034f8c833e79cfb7e9ed518,DeFi::Cross Chain
Garden,DeFi,Cross Chain,cbbtc_token,0x8cb57367532a5a967425ace0e5ed4554bfe3d341,DeFi::Cross Chain
Garden,DeFi,Cross Chain,usdc_htlc,0x819ca7042b3e59f613dc67179b640c5b99a15c5b,DeFi::Cross Chain
Garden,DeFi,Cross Chain,usdc_token,0x6c8f9d333964328f7ae2f0ea35389730d88f3d29,DeFi::Cross Chain
Kuru,DeFi,DEX,KuruForwarder,0x681bb1508e14433b148a2549ba2726454adc9bb4,DeFi::DEX
Kuru,DeFi,DEX,MarginAccount,0xd029c2d98ff85d8f64799017fe00a59b1159ce02,DeFi::DEX
Kuru,DeFi,DEX,Market-MON/USDC,0xa241896a7dbe8a550d2e5ff7a914bb1989ced2d9,DeFi::DEX
Kuru,DeFi,DEX,MonadDeployer,0xdacd06372ceb638640c9d8466a023b7362324e1a,DeFi::DEX
Kuru,DeFi,DEX,OrderBookImpl,0x72cae0a99c19b574e8a6de558f43fc1d019c9374,DeFi::DEX
